prod,prod,pond
BLUSAYPOLERAPARAMUJER,PRODUCTO_BLUSAYPOLERAPARAMUJER,0.16895
ROPADEPORTIVAYDEBAÑOPARAMUJER,PRODUCTO_ROPADEPORTIVAYDEBAÑOPARAMUJER,0.02628
ROPAINTERIORYDEDORMIRPARAMUJER,PRODUCTO_ROPAINTERIORYDEDORMIRPARAMUJER,0.08361
ROPADEABRIGOINFANTIL,PRODUCTO_ROPADEABRIGOINFANTIL,0.05708
"PANTALON,FALDAYVESTIDOINFANTIL","PRODUCTO_PANTALON,FALDAYVESTIDOINFANTIL",0.07989
"CAMISA,BLUSAYPOLERAINFANTIL","PRODUCTO_CAMISA,BLUSAYPOLERAINFANTIL",0.05971
"ROPADEPORTIVA,SHORTS,BERMUDASYTRAJESDEBAÑOINFANTIL","PRODUCTO_ROPADEPORTIVA,SHORTS,BERMUDASYTRAJESDEBAÑOINFANTIL",0.03397
ROPAINTERIORYDEDORMIRINFANTIL,PRODUCTO_ROPAINTERIORYDEDORMIRINFANTIL,0.02386
VESTUARIOPARALACTANTE,PRODUCTO_VESTUARIOPARALACTANTE,0.02277
UNIFORMEYROPADEPORTIVAESCOLAR,PRODUCTO_UNIFORMEYROPADEPORTIVAESCOLAR,0.39907
ARTICULOSPARAREPARACIONDEVESTUARIO,PRODUCTO_ARTICULOSPARAREPARACIONDEVESTUARIO,0.03652
ACCESORIOSDEVESTIR,PRODUCTO_ACCESORIOSDEVESTIR,0.08105
SERVICIODELIMPIEZAYREPARACIONDEVESTUARIO,PRODUCTO_SERVICIODELIMPIEZAYREPARACIONDEVESTUARIO,0.06004
ZAPATILLASPARAHOMBRE,PRODUCTO_ZAPATILLASPARAHOMBRE,0.23515
ZAPATOSPARAHOMBRE,PRODUCTO_ZAPATOSPARAHOMBRE,0.15246
ZAPATILLASPARAMUJER,PRODUCTO_ZAPATILLASPARAMUJER,0.14788
ZAPATOSPARAMUJER,PRODUCTO_ZAPATOSPARAMUJER,0.14463
CALZADODEESTACIONPARAMUJER,PRODUCTO_CALZADODEESTACIONPARAMUJER,0.18584
ZAPATILLAINFANTIL,PRODUCTO_ZAPATILLAINFANTIL,0.1438
ZAPATOINFANTIL,PRODUCTO_ZAPATOINFANTIL,0.04193
CALZADOESCOLAR,PRODUCTO_CALZADOESCOLAR,0.14934
ARRIENDO,PRODUCTO_ARRIENDO,5.52872
MATERIALESPARALAREPARACIONDELAVIVIENDA,PRODUCTO_MATERIALESPARALAREPARACIONDELAVIVIENDA,0.46731
PINTURAYBARNIZ,PRODUCTO_PINTURAYBARNIZ,0.15008
GRIFERIAYACCESORIOS,PRODUCTO_GRIFERIAYACCESORIOS,0.15152
SELLANTESYPEGAMENTOS,PRODUCTO_SELLANTESYPEGAMENTOS,0.05354
SERVICIOSPARALACONSERVACIONYREPARACIONDELAVIVIENDA,PRODUCTO_SERVICIOSPARALACONSERVACIONYREPARACIONDELAVIVIENDA,0.8895
AGUAPOTABLE,PRODUCTO_AGUAPOTABLE,1.65637
SERVICIODERETIRODEBASURA,PRODUCTO_SERVICIODERETIRODEBASURA,0.09053
SERVICIODEALARMAPARALAVIVIENDA,PRODUCTO_SERVICIODEALARMAPARALAVIVIENDA,0.08189
GASTOCOMUN,PRODUCTO_GASTOCOMUN,1.36955
ELECTRICIDAD,PRODUCTO_ELECTRICIDAD,2.27238
GASPORRED,PRODUCTO_GASPORRED,0.46326
GASLICUADO,PRODUCTO_GASLICUADO,1.1474
CARBON,PRODUCTO_CARBON,0.04009
PARAFINA,PRODUCTO_PARAFINA,0.11292
LEÑA,PRODUCTO_LEÑA,0.35214
CAMA,PRODUCTO_CAMA,0.24409
COLCHON,PRODUCTO_COLCHON,0.04889
MUEBLESDECOMEDOR,PRODUCTO_MUEBLESDECOMEDOR,0.12316
MUEBLESPARACOCINA,PRODUCTO_MUEBLESPARACOCINA,0.08476
MUEBLESPARALIVING,PRODUCTO_MUEBLESPARALIVING,0.31192
ALFOMBRAYOTROSREVESTIMIENTOSPARAPISOS,PRODUCTO_ALFOMBRAYOTROSREVESTIMIENTOSPARAPISOS,0.05674
ARTICULOSORNAMENTALES,PRODUCTO_ARTICULOSORNAMENTALES,0.11403
SERVICIODEREPARACIONDEMUEBLES,PRODUCTO_SERVICIODEREPARACIONDEMUEBLES,0.02258
TEXTILESPARACAMA,PRODUCTO_TEXTILESPARACAMA,0.15219
TEXTILESPARABAÑOYCOCINA,PRODUCTO_TEXTILESPARABAÑOYCOCINA,0.06102
TEXTILESPARALIVINGYCOMEDOR,PRODUCTO_TEXTILESPARALIVINGYCOMEDOR,0.04704
CALEFON,PRODUCTO_CALEFON,0.03793
COCINA,PRODUCTO_COCINA,0.07588
ARTICULOSPARACALEFACCIONDELHOGAR,PRODUCTO_ARTICULOSPARACALEFACCIONDELHOGAR,0.07897
HORNOSELECTRICOSYMICROONDAS,PRODUCTO_HORNOSELECTRICOSYMICROONDAS,0.02647
LAVADORA,PRODUCTO_LAVADORA,0.19793
REFRIGERADOR,PRODUCTO_REFRIGERADOR,0.19312
ELECTRODOMESTICOSPEQUEÑOSDECOCINA,PRODUCTO_ELECTRODOMESTICOSPEQUEÑOSDECOCINA,0.18237
PLANCHA,PRODUCTO_PLANCHA,0.03349
SERVICIODEREPARACIONDELINEABLANCAYELECTRODOMESTICOS,PRODUCTO_SERVICIODEREPARACIONDELINEABLANCAYELECTRODOMESTICOS,0.03963
VAJILLA,PRODUCTO_VAJILLA,0.13225
UTENSILIOSDECOCINA,PRODUCTO_UTENSILIOSDECOCINA,0.1495
