Fecha,Dia,Mes,Year,a,b
23.07.2014,23,7,2014,562.98,
24.07.2014,24,7,2014,563.55,
25.07.2014,25,7,2014,563.34,
28.07.2014,28,7,2014,563.79,
29.07.2014,29,7,2014,566.3,
30.07.2014,30,7,2014,571.82,
31.07.2014,31,7,2014,572.06,
01.08.2014,1,8,2014,573.03,580.0742857
04.08.2014,4,8,2014,571.81,
05.08.2014,5,8,2014,577.05,
06.08.2014,6,8,2014,576.56,
07.08.2014,7,8,2014,577.31,
08.08.2014,8,8,2014,575.5,
11.08.2014,11,8,2014,574.6,
12.08.2014,12,8,2014,575.99,
13.08.2014,13,8,2014,576.28,
14.08.2014,14,8,2014,577.98,
15.08.2014,15,8,2014,577.25,
18.08.2014,18,8,2014,576.87,
19.08.2014,19,8,2014,581.24,
20.08.2014,20,8,2014,583.44,
21.08.2014,21,8,2014,582.69,
22.08.2014,22,8,2014,583.54,
25.08.2014,25,8,2014,582.95,
26.08.2014,26,8,2014,586.12,
27.08.2014,27,8,2014,589.65,
28.08.2014,28,8,2014,594.94,
29.08.2014,29,8,2014,586.76,
01.09.2014,1,9,2014,591.2,594.3604545
02.09.2014,2,9,2014,589.35,
03.09.2014,3,9,2014,589.08,
04.09.2014,4,9,2014,593.4,
05.09.2014,5,9,2014,586.84,
08.09.2014,8,9,2014,587.02,
09.09.2014,9,9,2014,591.41,
10.09.2014,10,9,2014,589.97,
11.09.2014,11,9,2014,589.54,
12.09.2014,12,9,2014,593.87,
15.09.2014,15,9,2014,595.21,
16.09.2014,16,9,2014,592.34,
17.09.2014,17,9,2014,597.67,
18.09.2014,18,9,2014,597.4,
19.09.2014,19,9,2014,596.15,
22.09.2014,22,9,2014,601.36,
23.09.2014,23,9,2014,599.33,
24.09.2014,24,9,2014,597.13,
25.09.2014,25,9,2014,598.87,
26.09.2014,26,9,2014,598.92,
29.09.2014,29,9,2014,601.72,
30.09.2014,30,9,2014,598.15,
01.10.2014,1,10,2014,597.56,588.01
02.10.2014,2,10,2014,595.7,
03.10.2014,3,10,2014,597.05,
06.10.2014,6,10,2014,598.5,
07.10.2014,7,10,2014,595.95,
08.10.2014,8,10,2014,592.97,
09.10.2014,9,10,2014,592.42,
10.10.2014,10,10,2014,593.65,
13.10.2014,13,10,2014,588.88,
14.10.2014,14,10,2014,589.15,
15.10.2014,15,10,2014,588.85,
16.10.2014,16,10,2014,589,
17.10.2014,17,10,2014,586.6,
20.10.2014,20,10,2014,585.75,
21.10.2014,21,10,2014,583.36,
22.10.2014,22,10,2014,585.73,
23.10.2014,23,10,2014,584.25,
24.10.2014,24,10,2014,584.3,
27.10.2014,27,10,2014,585.26,
28.10.2014,28,10,2014,578.9,
29.10.2014,29,10,2014,577.95,
30.10.2014,30,10,2014,577.03,
31.10.2014,31,10,2014,575.42,
03.11.2014,3,11,2014,582.6,594.534
04.11.2014,4,11,2014,585.52,
05.11.2014,5,11,2014,589.45,
06.11.2014,6,11,2014,592.29,
07.11.2014,7,11,2014,586.5,
10.11.2014,10,11,2014,587.73,
11.11.2014,11,11,2014,590.6,
12.11.2014,12,11,2014,594.47,
13.11.2014,13,11,2014,595.74,
14.11.2014,14,11,2014,593.95,
17.11.2014,17,11,2014,595.91,
18.11.2014,18,11,2014,597.37,
19.11.2014,19,11,2014,601,
20.11.2014,20,11,2014,599.73,
21.11.2014,21,11,2014,594.03,
24.11.2014,24,11,2014,596.24,
25.11.2014,25,11,2014,599.01,
26.11.2014,26,11,2014,599.13,
27.11.2014,27,11,2014,601.09,
28.11.2014,28,11,2014,608.32,
01.12.2014,1,12,2014,612.43,612.37
02.12.2014,2,12,2014,614.52,
03.12.2014,3,12,2014,609.54,
04.12.2014,4,12,2014,609.92,
05.12.2014,5,12,2014,612.38,
08.12.2014,8,12,2014,611.5,
09.12.2014,9,12,2014,614.25,
