prod,pond
PRODUCTO_ELECTRICIDAD,2.27238
PRODUCTO_GASPORRED,0.46326
PRODUCTO_GASLICUADO,1.1474
PRODUCTO_CARBON,0.04009
PRODUCTO_PARAFINA,0.11292
PRODUCTO_LEÑA,0.35214
PRODUCTO_CAMA,0.24409
PRODUCTO_COLCHON,0.04889
PRODUCTO_MUEBLESDECOMEDOR,0.12316
PRODUCTO_MUEBLESPARACOCINA,0.08476
PRODUCTO_MUEBLESPARALIVING,0.31192
PRODUCTO_ALFOMBRAYOTROSREVESTIMIENTOSPARAPISOS,0.05674
PRODUCTO_ARTICULOSORNAMENTALES,0.11403
PRODUCTO_SERVICIODEREPARACIONDEMUEBLES,0.02258
PRODUCTO_TEXTILESPARACAMA,0.15219
PRODUCTO_TEXTILESPARABAÑOYCOCINA,0.06102
PRODUCTO_TEXTILESPARALIVINGYCOMEDOR,0.04704
PRODUCTO_CALEFON,0.03793
PRODUCTO_COCINA,0.07588
PRODUCTO_ARTICULOSPARACALEFACCIONDELHOGAR,0.07897
PRODUCTO_HORNOSELECTRICOSYMICROONDAS,0.02647
PRODUCTO_LAVADORA,0.19793
PRODUCTO_REFRIGERADOR,0.19312
PRODUCTO_ELECTRODOMESTICOSPEQUEÑOSDECOCINA,0.18237
PRODUCTO_PLANCHA,0.03349
PRODUCTO_SERVICIODEREPARACIONDELINEABLANCAYELECTRODOMESTICOS,0.03963
PRODUCTO_VAJILLA,0.13225
PRODUCTO_UTENSILIOSDECOCINA,0.1495
PRODUCTO_HERRAMIENTASELECTRICASYACCESORIOS,0.04308
PRODUCTO_HERRAMIENTASMANUALESYACCESORIOS,0.06334
PRODUCTO_ACCESORIOSDEILUMINACION,0.05921
PRODUCTO_ARTICULOSDECERRAJERIA,0.05605
PRODUCTO_ACCESORIOSELECTRICOS,0.05831
PRODUCTO_PILAS,0.03477
PRODUCTO_AROMATIZADORYDESINFECTANTEAMBIENTAL,0.08667
PRODUCTO_DETERGENTEYSUAVIZANTEPARAROPA,0.46756
PRODUCTO_LAVALOZA,0.07569
PRODUCTO_LIMPIADOR,0.18733
PRODUCTO_INSECTICIDASYSIMILARES,0.03315
PRODUCTO_ARTICULOSDELIMPIEZA,0.10211
PRODUCTO_SERVILLETASYTOALLADEPAPEL,0.19432
PRODUCTO_SERVICIODOMESTICO,2.6473
"PRODUCTO_MEDICAMENTOSANTIINFECCIOSOS,ANTIVIRALESYANTIFUNGICOS",0.10445
PRODUCTO_MEDICAMENTOSPARAELAPARATOCARDIOVASCULAR,0.20425
PRODUCTO_HORMONASYMEDICAMENTOSPARAELSISTEMAGENITO-URINARIO,0.30228
